id;vmname;num_cpu;memory
1;ability Hat Iraq;48482;Bahamian Dollar
2;24/7;94290;conglomeration
3;Oklahoma facilitate;6489;Versatile Exclusive Moroccan Dirham
4;capability zero tolerance Computers;60956;Berkshire Small Plastic Pants Investor
5;Canadian Dollar;53093;Way Dominican Republic
6;Bulgarian Lev navigate;23763;transmitter
7;Point Orchestrator;39882;bypassing optical
8;installation;18651;Refined Rubber Gloves Algerian Dinar Clothing
9;open-source turn-key;9617;Quality
10;synthesize Creative;13752;bricks-and-clicks Concrete Global
